vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
1,1/1/2022 0:40:15,1/1/2022 1:09:48,1,10.3,1.0,N,1,33,3,0.5,13,6.55,0.3,0,56.35,138,161,2022,1
2,1/1/2022 0:46:09,1/1/2022 1:08:06,6,5.95,1.0,N,1,20,0.5,0.5,4.76,0,0.3,0,28.56,79,238,2022,1
2,1/1/2022 18:04:06,1/1/2022 18:40:52,1,9.7,1.0,N,1,34.5,0.5,0.5,9.22,6.55,0.3,1.25,55.32,138,48,2022,1
2,1/1/2022 0:55:48,1/1/2022 1:14:24,1,6.67,1.0,N,1,21,0.5,0.5,15,0,0.3,1.25,41.05,138,229,2022,1
2,1/1/2022 0:42:45,1/1/2022 0:56:15,2,6.49,1.0,N,1,19.5,0.5,0.5,6.62,0,0.3,1.25,28.67,138,112,2022,1
2,1/1/2022 0:37:15,1/1/2022 0:52:51,2,7.87,1.0,N,1,23.5,0.5,0.5,5.08,6.55,0.3,0,38.93,70,236,2022,1
2,1/1/2022 0:40:57,1/1/2022 1:12:08,1,2.7,1.0,N,1,19.5,0.5,0.5,6.99,0,0.3,0,30.29,161,142,2022,1
2,1/1/2022 0:46:19,1/1/2022 1:15:22,2,3.81,1.0,N,1,19.5,0.5,0.5,4.66,0,0.3,0,27.96,162,238,2022,1
1,1/1/2022 0:05:57,1/1/2022 0:32:31,1,11.1,1.0,N,1,33,1.75,0.5,7.1,0,0.3,1.25,42.65,132,61,2022,1
2,1/1/2022 0:58:27,1/1/2022 1:23:12,1,16.75,1.0,N,1,45.5,0.5,0.5,9.61,0,0.3,1.25,57.66,132,112,2022,1
2,1/1/2022 0:11:39,1/1/2022 0:36:04,1,5.43,1.0,N,1,20.5,0.5,0.5,10.94,0,0.3,0,35.24,233,7,2022,1
2,1/1/2022 0:16:03,1/1/2022 0:40:25,1,5.88,1.0,N,1,21,0.5,0.5,4.96,0,0.3,0,29.76,233,97,2022,1
2,1/1/2022 0:42:02,1/1/2022 1:04:31,1,14.48,1.0,N,1,40,0.5,0.5,8.51,0,0.3,1.25,51.06,132,7,2022,1
2,1/1/2022 0:33:50,1/1/2022 1:07:19,1,4.59,1.0,N,1,23.5,0.5,0.5,5.46,0,0.3,0,32.76,114,142,2022,1
2,1/1/2022 0:58:21,1/1/2022 1:21:54,1,8.54,1.0,N,1,27.5,0.5,0.5,7.57,6.55,0.3,0,45.42,237,196,2022,1
2,1/1/2022 0:40:21,1/1/2022 1:14:53,1,6.34,1.0,N,1,26.5,0.5,0.5,6.06,0,0.3,0,36.36,88,48,2022,1
